Entry,start,end,sequence_sha256
Q5VMI0,0,471,cce4084d14a816b8bb63f6cd4854f4b0456a2de2b7547b03a779a2a426b79097
A0A0A1H8I4,0,262,cefd2da9176530c2a0e0339ed82d558b11fc76d0510a69ddd2743537dbe2df8c
A7B1V0,0,490,5d3e9e127955b6b61a6cc7fea27db8ae96c6dbceab9eea3dec53d918a89563fe
J7SZ64,0,417,36287a59ef974b0c0127ba13a4defc07bc0fdcfbf94bd1e84168b354fb7701a2
P93082,0,502,a9b2adf922c1a75f470f3283d312e5cadb40a72993059611d943e65863611469
A0A0A6ZFR4,0,451,bf836c90064fa6b78c2c8bde929547db537df1e7ecc8fdc9aef6bf4dd2dc2372
A0A0A6ZFY4,0,442,7c8cee6f1c9a09d197d034abd256da625d658b985df9b1948aa215c9d2098716
A0A0A7GEY4,0,319,fbb8844783a09075c4eb4de98c44c466ed15f32859f8ecee5f75c8368474da0b
P80042,0,369,b230d506a0da6f132213c801ef84eeb9b85c649d5c5c0c5973d7eaf9c414276c
A0A1U8QLG8,0,397,a7106a70da112def5272a487f75c1d65c4aa8ab8868b9bbb6dca4a8d83e83c20
A0A2L0VXR5,0,350,569c4df4f45eabcc5303321a86c0af63f940c65f2ff9eecf6dc4417f072c7636
B2DBE8,0,389,b5fd057ae0847e62d8b7b136e53abf3e2cf68e2fe97a49d79691e10b8580f82d
Q9SLG2,0,372,e803a6048301667f0d165889aaeabe7578bd34dd12c25cb06e573304188e1275
O50410,0,350,ce225dfc06d7d72b8d707b80075962eabae8989de20c107ce4a52fbd5497a309
P39464,0,330,09b9d0109aecc487217aed2695edcb561f7954b2af41f425dbf221a9a1075fc4
P48368,0,300,1332e0d3f771a25e4538003c6737f431f3a8de1795f5bf4c54f756320e7e0baf
P17060,0,289,98cb781756102f99f6c09a44cc53bcf76c0f2011f4b1ef83c4519f0cdddba8d5
Q12051,0,335,f794a0d5c483c75654ae9005cc2b0925299a2554c2bdfaaa06db7995756857e5
Q54BK1,0,303,cb9a96e1fd5abe7e5f53da7a90d8011343a9210e81987726ff100520fe1edb5c
S0E627,0,393,f58c52f60f4abe4910a1e97fc70b5a7c3d55e920c05ed847a401087ecd92ffd7
B0FLN1,0,184,865201eb988de71c0c2cb5cd53e529f01c271926cb67460c5c7b8e084a94cea3
O54451,0,212,03ad4b5c0aac02c3de779c12ffe2e8c1125d67cf512e68745e7e31e4d7f84080
P33883,0,201,6cd2b85f8d21a972c35fc5a2dcb3c4ba88b1487ddf635b7c4d1f79ceb05c0336
P12747,0,193,0187f02d726785aa716af2c35076a198fb347227cf74ac63df77dc83f0129b96
P54291,0,201,ed167f70dd2e78f6e6f499689383118cbf6f9d5d81704b5224d8fdd984359a84
P33881,0,216,78469e8cdf2a6ce8b9afb3d009d1707c5c96231b8a65a93cce9b5930d13c086a
P33907,0,211,b86659da07a3addf47eec2f73503184f7311c223e0965d53564a2622924b3521
P58584,0,204,f48b2a04041d5f6c9c2b9d318d4a701147038017c77b6848270bb4a6fc575286
P74945,0,193,d4f040ece1aedd4e33a8d861a6874a7fffbc20d07ed48e11fe2fb947687af64e
P70774,0,207,2495fc4c4a2a4b8c833673b0e03cd0dba9e7789ed0400806d1e190a6e6c9a7da
P52989,0,200,a6e8f80aebe114cd5c5d95960275562ff83d3c5b7c26b5cf79fd0cca34208696
Q51522,0,196,55404826879c85b4e8f879ef73a04bfd06d2291079a8982e8da51a26b398ebc9
Q9FDA3,0,400,7e270c9714a4e95785ce2dddb33daa62b93248bef6cbd740619f08d309552e9a
A0A0B4G504,0,331,a6f3747cc43fcca92c13ba3bc912e87fc8352ee7fd8e3936e7cc210a92096160
F0ZDD0,0,310,fefa1d4df95feb87f3d13a48f2c2e113936aaf62a8a4167b8975483781be5225
F0ZL92,0,333,bdafd8e1667a310aeee4ca0d59fd4018fb8d459effe48c536a2574bb2a47c373
Q54TW4,0,347,8dd60ee5add566b3fe8d0fda90c51aebeaea60b5d69a681bf54d6c3b48642c33
Q54YE2,0,339,4947590201a21870aa9ca0806d599e75e2ff45bbe500c007ddcde27deb6738d4
Q9FXY7,0,577,584e92be46b828f87f94ff467507ffa5b46168c3b0b5bff300273768df815112
Q9K498,0,461,e8a54329f306756f60d837f216e9f57805cdbb424de35cf7b9bcaacdfc48c2d6
A0A0B4ZTQ2,0,408,ba818ff4837a962338bbc1fc8e9eae581a50726182356474b3b532e0b8084019
A0A0C2SRU5,0,206,023050c56aeec94c00f6db533e3b9e75af7cd16c4bd584f42faea4e5a6749ec2
A0A5Q0QSI8,0,430,8652070decd6aea0a69107cb9578c1a0e0df2aa2ee6ec31732c143c55c7fd945
A0A5Q0QNJ2,0,389,eac6ad852ff77f3abec70657673af54f842a73a9ff07b3a397bfbafcf9b3d789
Q9Z0R9,0,444,dcc54c8fdb1480ca55011a7267a9ab7d449794fa5ef7eb5ecc0dc905d67763b5
Q23221,258,443,195fb7c67097c2119c1ed0f8a406eae84fe0ee22b5428d0c437f696cb7e5a069
A0A5B8NIM2,0,262,69131f2e9d9d021f66dfca518b92f4d3f80b9d0c895e3cba59238e3405180b50
A0R3N5,0,104,fcbfd57634fb3a1c56da12e3ab662124e9fcc40049bcf28b6f4b5d944b12d1c7
D2CSU5,0,263,91e581212e93231b827d224dfbdca91d869d36d4498456fafa5d0ec01fef04ba
D2CSU4,0,324,33e6516350f60d2992b5857bbbc14e3be13c96af70ecabfe08f9f41369cbd558
O67085,0,362,5e1ad54fab670fb4492374ede9b947cfceac76723bf2632b44042ddca0dd60af
P43902,0,377,cf9ed0e3d5fade4ccb913767d94c2b52353801249f843c32a4f0c10c6543ddb9
P19080,0,127,d9dac11c0df83c0a03265366a417b1a5d9091397e02fbaa710d0d951b0c2f5f2
Q9P4D8,0,280,2703ac882e3c0ae9f5ae8288910d02bb9aaa2b1d807fbcc8192aee4c1041f505
P39912,0,358,5dbf4ba93bcd58f474022c06b30884162d2a7d9b558cdc79cd62e1672673ec01
P9WIB9,0,199,a1ca4980f3254aebaf746a2614eeb8fc9d80cdb747ef3f75ae7b975d5a3f32ec
Q51507,0,101,906dece0d70923a40029fcb6c55901ce8a16665bbad831a68444899ee4ba68dd
Q7CHH5,0,186,332737382d1d459b09f81fa9d6da7dd2c8b125a381c4916ea6e9d0c414bcf4fd
Q84FH6,0,122,a6d6c0fe394efa53723650d21473aa761477d3e730523e250c5a7cd3f48b4a3a
Q89AE5,0,371,663834023c1fe13f5df494e3f529a214fa135dda8c0087edd5fc54c23dfeaa37
Q93LJ4,0,181,2abb747f4ab2c3a8689afcdcd91222fe63bcd7899314b73216751c55265f8168
Q9HU05,0,185,8f9178fecc7e552a46aed9ecfa4511cf344437fe834459c5c1fcd56b1169ec2f
Q5Z1C4,0,382,18ebc246f5a78ecaa6083fdab606b11eb0d07a29ab71a66c00f8cbd955125120
A1A3D2,0,344,58e6a2cc8528916efe0e080e18dc7a35bfa29f9783348bda9086be67ed5ef54b
A9MBD0,0,306,c9ba5e5737e93a593580267c94e37f25c3dc5f997da619f0096c80087f78cf15
A1W1X7,0,293,b9690f39aa1f08b63d55c97f17e8e9f659040e1b0f64783241cee27ad4c8284b
B9L9I6,0,368,4f9ae26e50a3e2084d9d2373e8d058abea223a62f61d4bcdf8d5924ceb37dff3
E3HDJ8,0,284,2937c60b2fcb271e5647630a35f9b2da3dd7c94f2b63c0b16c641de835045db5
Q2NGH9,0,490,e509407e04afaa5373c9f1eac86c9e5a0f28a01a544a34978e598076a508a661
K4ICC9,0,336,ec73b55a0a1b5dccff478ad955eb0aa31c323f66b60f98d07de631c7c34f7649
Q03V79,0,305,ee490d969b59ec7f8abc16cab9b193fde6d3f03a09ee1c61abaf3cd732d3b310
D3P9D1,0,377,fbcd0a09992b1ca33f2876707eda880319aaa289d83494e5dbda0d9e0d046b3f
B2IY96,0,356,dc5e09f781b4c7d88ec6ad0efc22c4012fece606b4e9436f48761d3be01a8f9c
Q5UY71,0,402,63139632b096b3bf523fab74782532ed623d54fc84be06cf715591f9094058df
Q4QJY8,0,358,28bdcd7445a2ca46749b18f79b200b0dbd9c56343e4bb909e5179e75a2adf435
Q31RB6,0,299,8c2660cfa3b24aa89a84540f72e2670afddd53a3663fa5714487e21aa5f1bb7e
Q8Y9D6,0,368,0ae614f153822df01ce64daeec19002c92b4b5133a2178bb7c7ca2b7414c8384
F8U830,0,527,b0e59ae56d42fb25ed3081f3744556a357f7caf75aea18bf7afa786e17ce153d
A0A0D4BSP3,0,237,02d8ba9aaeb987be0ec3dba74787bd9eb96f8ff1d0c3b06dcb4d3c6eb0f24f1b
A0A0E0SNE8,0,323,5d5be7704f7f95fcd7aa81679ea43d31fdefaa653184f3c760694cca915a1ba0
Q8NJ57,0,386,fdd7ae9d974260c607ef436191d66991304756caf2b6564d4e4159d9e3d3fc0a
Q8J207,0,356,85fa3544ac41c3d2142b10f8a4a23f126566cea38ea7c220ed11c03d2d8f9314
Q9ZT29,0,271,c19a4b3e5a8f6f811ab8e9f529e49d6f15fb4899bdfda23bf9ef262991d0dd4b
A0A0E3USC3,0,275,221c18b63e73541612a444e1bb649d1271c33062660de4aa819f302ab5178fb7
D4QF25,0,274,7b51c3a1de481d8145d9c6646a90ee3f3e2f6795dfe9f778bc5bfdd8907a07c9
Q89V40,0,285,32b9e4b146cda6f7ef2302288492bbb7f3bb9cd426d78957e52295a8207c120f
A0A0H2V630,0,371,c930e61d26021e84d3e568a1402b2e3d8cf4d1c29ad7dde46d46e6e2d4389a38
A0A0H2V660,0,409,9fbaa037baf84106c06659d46ef637231c195e8d545570da8402310db5fa1290
P13039,0,400,0fbaf7ad2ff420b39ad55b53459f1c927355636688b5fbed7180167fb3cf9fc9
O51900,0,435,bf1fbb423785ec7674b4c2f3416cbd5c82837544b905fde362757b5d9bd12122
Q56855,0,353,293c288e22f700b2d504625acad07b3620c7f64d799b85b0a5ee3fa75dd39164
Q9I0F2,0,304,9ed0eb0debef8a4bf472a4f9541e707dc8bd19dc67ea93d7f26806af85252a93
A0A0H2V871,0,318,8372a9e4bb1e26bb2ce069e869dabf115eb5d4469803319047bb1f0eebb0fd40
A0A0H3JUG6,0,240,b00b3957c2f64ed7a2019e77d560b6e8bcb03d7e3e01881ec28cc332ec86f0a5
G0J2F8,0,310,ffa53b086558e1683f9b7f9bcec28e3757ddc39d42348abee11f135f7588d7b7
Q81I72,0,380,4d769bd4a59e9bb4c6896c33e1f27490e8535fa9c7c53b12a98a7768ef08bdb1
Q2FX88,0,380,e6713d6e7bb39d9b9ef86e2a77c84ddae7f50ee83f62299ab0a19f3c3d381b9a
Q7VYQ1,0,219,4933bd4ce7c84f21d9013aa1490e198383049f7cc162bc7602322d74e45a1e79
A0A0H2WWB5,0,333,ece5fa532fd70ad3b7ed0c294a43db6092061db7cef0e36adb52286079e08604
A7FGT5,0,323,df0045958c3096519f9b1874beddaeb41761b17488fe9b9ef19eedc3e912c482
O34514,0,371,23ca78ee3d4b423e7d11252c110a946f55e626cbe3bfd479e423dfd5c065a200
Q44244,0,368,fb1d8ed35888b3e59053baecbd7b7a44fe1538ed750d5651e725068d2bc7aa4d
A1KG30,0,326,088034f1bde42584609bf19a754fb9e8472a49bb93b087c2c3e6a4a6ba7ef577
Q55117,0,320,da888c12ecdf0bd8225bfec47582a57782bcf4af72f3c7a6b65ccb6af0bbec26
Q927X3,0,374,7ee2c323c7e8edf9cefed6dec8418e53af71052b37a50cc6651eec697291060f
A0A0H2WWP1,0,452,38c75194b231fa2f5c26387772c9c79eab2c3cd01ccaa7aaa1e73f1de0116c38
O33804,0,446,919fea4a83e27b75e9f8f56d58c90e5b48343faa0b794875fbf4035785abe582
O83401,0,459,1b99d77cff2bf983f773905261764ce2e9fe5fc4f0659815919d096c85ef6f75
P11880,0,452,e5fd2f65d603cba32001067979b06751a9dec09b352bc52be50745758cbc8d56
P45450,0,454,5e4516965528ced32f4f1cf10fe516a08ddeac3590d73bfa2267fcf9a8ac4bfb
P0A5L5,0,510,75ea5ed08b927bd63b9603949534377693f09bc38c4d4fea00e53e739680c68a
Q44777,0,464,e5024c9d9ba57cc7e9f4f48c34177fd8e3c2595828275a69606655fd533fdaa7
Q92H60,0,449,8e219510d1bc6de47932cf708522b70e6378bf44c64b79fa44952ae7f1af17e3
A0A0H2WWV6,0,493,75836d80fdbed0579302e8f859a0aa676587d50056695ccd7413e4e60f8ec676
O29008,0,271,5b25dbd1a239398361db39e80b59c6fa592bd620a288a6adb1bfffb75be9ec80
A0A0H2WZ38,0,243,70f803e43376fc1551be487a5d56866a3cb16f173a2b721add901f96c4aa6d54
Q1QMU3,0,233,3d6f73c51f67e078a76fa8724d5bdd3224fd87f08a01f28c1b2e67712ae3726b
A2BLL6,0,202,34e3c23b3545c44f9a88f76bd529535258fa997f025af42c4b469642a37f8206
Q9ZGM1,0,204,651aba4ff2f307e4f19fb4bee49191da381e9a20e1c5ec80a35b5d9dfde8e1ee
Q5WZT6,0,310,8554cc4bd1d00ad9af4c3c737044af77244de2a3037642706a4449b9301856a0
Q2JN09,0,218,72bdeeede27eb0b83434afd16404def7a7b9dc7d954309cb74e66b0a6fc99ae8
A8A8T7,0,197,dac37491c938acf916325a5a28f27c4e4c4981cb20a3fef36d91d3e8aefacffa
B9LSC8,0,197,89d03bc5fafe494cd9c32a01f9de73ef83b975470e517b861e66d4394ea7be3a
Q81IB3,0,309,a8d08b74eeb9c2d5e521820640fe074c8e597cef62372fde96301420e6452262
Q9UX21,0,224,49116afde42a95c5710dd9cda5468d9faa0ee7f386e1fd120dd5f51d834cd45e
A6VHR9,0,187,019bf4a9e6922115e6557e8ced57556f53d324b1484dd7a98a0a0f69a2da5c2d
Q4PJX5,0,226,42e0f44249df6294ffdb18cd1141d280b3782d4dae945a4691f1486a96d17514
Q30PY0,0,207,86b974f2dc774b1018cd20182b72002c7210082d915a8d9bd49f8191305d328d
Q8ESS0,0,201,237645a862a298d79b56d96c2da620befe391430248683a7e361552ccf636307
B6YQU3,0,196,805b5860e215dd83529ab5379aa40d8e248057140eca9407e67d036c3efb618c
Q2LXR3,0,224,c51b23109206436f4bc83b0947d0ea1166f20e990e6b805db66a9194790b7d5b
Q4FLJ5,0,227,d59abdbe7110a137eed14cd6fa723a4123f20e17bce4bfbab820025952a6d73b
P61783,0,202,e768f787087a77c087bf4f1849fac18acce398315f185dd60263407f148721cb
B9MKY8,0,188,e79d55d19cd82d7cf4d7a94bf75a2d85f52eea1298c16c99484d7d5952986f5e
A0A0H3JUU7,0,437,d2c1e0912edb71cdd3fdcaae10ba65a48f740c7771e31ade38e7f14dc95da506
A1A6H3,0,379,b914d7d333e002f2c49ab05f509f0be08f744a10ceca9fd88e5d415d8096f60c
C0SPC1,0,269,cd3fe68889910b4e941ad95fa915e37d8f30ddfaa3e4cb73d1ef26eb0bad7f96
E9AD19,0,329,8bf3fbe98d73563b0d6bfeb424403cda4e018800919969810fa0b9020c039de4
O60116,0,318,d3cd60e87001a8954d973f7042dfbceeca9a801e00a72aa6d37db49b0154ad1d
P36945,0,293,952ad6e2590a31ea3a23cc3cf2f56c0999765b2359ddfb0d0a076cce9c71b03e
P44331,0,306,c1e0d72df102c96124c187f1aee850eba2eec4101205b40a3f7c8a0b7dbee04e
P83534,0,540,fd99f7905d31b81e345960f12372f61b8fdb0b9eba603381d672ead2069dc55a
Q54UQ4,0,318,4daf1118c9294c6bf7dbf551eb214c36fd4a37785fc840e13bc39e074a649d33
Q9CF42,0,300,80a9dbb4ff0bcd7d729ae562ca8b2619d10628ac5f8514c73413b04f3193fdfe
Q9H477,0,322,628db4e4b1cbe217960d5b3d67e6998c11d1ff59559062f22b80582d34f88c69
A0AFT8,0,121,77e89b793606463d05c2b253e75758f5fc11f7387b89236e99a6739e85676daa
O70453,0,290,fc66c9f7c573779d4c025ba0b7d92708891eb0fd3493eca1b58e17c550fe3e01
O73688,0,277,e139a21048790634cdd5c15d866d2fabe65384958722c946a81a55d12a8c4508
P71119,0,215,9c6160b0a48d81201bdff1e90857e9b81f347b8197d96be686d8eca87ad55427
Q69XJ4,0,289,12226f3ea0e15192fb91d3deaab9ec421d500235e585cd075567a2a7a93c0c6f
Q81L50,0,107,ab79e2484008419ccd66886af3ce8406554fa882ca320876bdafd1dfea2360f1
O78497,0,237,742e175c1b71c34e44a8f7b4d2e3ebae43fd28b9bc02f0328d6c1822f53e2c99
Q5HMA8,0,139,345ca2091f654869fd08a844addb755cc9f719a8a6874d4d63593487e4250244
P41893,0,156,47a1d5c94e9bd6469981a7f888e65b16ed0e27aabc11de46073ea0e4e2bcbcef
O52787,0,142,9cc306d94556e8f337db9f25fe8e2909759d05808cfc76abfd57acdcfdd278c7
Q9HXC7,0,218,defd740d84f37691216bd9d4bc3640cdf3856a099c6a610f44eaafeb6a45351d
Q4QEZ7,0,175,f8bd14460372824a34f4be5f9065d3c20ff7ce2e4295730901f2209f2310f095
P96717,0,254,6be96411084e6ee5d98564b7277a996e0663f64f65afa0ce64942ab4f3f48582
Q55535,0,157,33e77e629fc51fb122dacfc0712ecb09306382f2373ba25439c208a316506270
Q681Z2,0,203,12c9391e04537c3a6d4e35c2540d5cdcb9f77ccb83183b1aaf387fe2ab55640a
Q16690,0,384,1e47c7299ee218b79451b395da14da4f17fea2ae2f013329e92d56ac6d76ac83
P34442,0,359,60d6561ffb7d283bcd9b7014ea2dc00e19ab64f7d5dc058b1c1075f28abb8279
Q45408,0,145,4ac553c423244d0bd94a685500ebf50ed18705bede32ce243fec51322d475f1e
P41498,0,158,257ce5ade59eee2186820a3941221e8f82f57d0ab80cabeec5cd1fba289659ee
A0A0H2ZH52,0,323,c3f64fe2f224e114b9e1b1384db78a172498f0875bd9ca4397d453c5efbdca06
A2RI77,0,349,4c5a882f52991abe050442a79eb84b13f7dac8e8aa694724221c5f4265dea825
A0A0H2ZGN6,0,324,541b22f82eec7ea834211115a445e4670e163bd1f8aac3ef86ac829480dd849f
Q8RDH4,0,326,e9752d53a23b644cad0262c58c607c01ce2a370fb63b6105f2d72c7d066f48d8
P23222,0,505,86e80d28228363df70c61748db9927fa720ed3e9e4f23f3af2478b0ef15c1ac1
P44578,0,325,bea395a788f4f51099fb33d125e745f51ce54a29ef54df1996217c5f21255795
Q9HV31,0,477,6c9431a466a8a3f7aa6061d3ed57d0bb5ad9d01c88105e1e8ee96b07933775ff
O07777,0,156,9ad93fe8d862dcb0377108f7fc7e11735998c7721d2c10728fa352b1cfc9060b
O32193,0,451,eec1ab7d1416d2016c9ac5c0a7cfbdc6140fa0eaa19ce99752cebcb8f8248767
P54444,0,432,9962a5445af547bfe491c1407059487eaa34afe879f021c78e13b84283d07c1e
P23621,0,443,303b43bd32594d15a33cd2ba9bbd5a6c3a89a520e58b3c2524f5c1a07e0669cd
P35164,0,589,9ab442cd7ca1171213779b31472bd6af735a347b7df267c5d531ac25cf2eda08
O53857,0,425,bd7213437848df30109242860c485bfb04098ff5154eced8d8548f7922884131
