Entry,EC number,sequence_sha256
Q9Z0R9,1.14.19.3,dcc54c8fdb1480ca55011a7267a9ab7d449794fa5ef7eb5ecc0dc905d67763b5
Q23221,1.14.19.3,cd6a3a884778ece2dc15aa82ff0352c472f295e1a946b344bfeeb20cdf093cfd
A0A5B8NIM2,5.4.99.5,69131f2e9d9d021f66dfca518b92f4d3f80b9d0c895e3cba59238e3405180b50
A0R3N5,5.4.99.5,fcbfd57634fb3a1c56da12e3ab662124e9fcc40049bcf28b6f4b5d944b12d1c7
D2CSU5,5.4.99.5,91e581212e93231b827d224dfbdca91d869d36d4498456fafa5d0ec01fef04ba
D2CSU4,5.4.99.5,33e6516350f60d2992b5857bbbc14e3be13c96af70ecabfe08f9f41369cbd558
O67085,5.4.99.5,5e1ad54fab670fb4492374ede9b947cfceac76723bf2632b44042ddca0dd60af
P43902,5.4.99.5,cf9ed0e3d5fade4ccb913767d94c2b52353801249f843c32a4f0c10c6543ddb9
P19080,5.4.99.5,d9dac11c0df83c0a03265366a417b1a5d9091397e02fbaa710d0d951b0c2f5f2
Q9P4D8,5.4.99.5,2703ac882e3c0ae9f5ae8288910d02bb9aaa2b1d807fbcc8192aee4c1041f505
P39912,5.4.99.5,5dbf4ba93bcd58f474022c06b30884162d2a7d9b558cdc79cd62e1672673ec01
P9WIB9,5.4.99.5,a1ca4980f3254aebaf746a2614eeb8fc9d80cdb747ef3f75ae7b975d5a3f32ec
Q51507,5.4.99.5,906dece0d70923a40029fcb6c55901ce8a16665bbad831a68444899ee4ba68dd
Q7CHH5,5.4.99.5,332737382d1d459b09f81fa9d6da7dd2c8b125a381c4916ea6e9d0c414bcf4fd
Q84FH6,5.4.99.5,a6d6c0fe394efa53723650d21473aa761477d3e730523e250c5a7cd3f48b4a3a
Q89AE5,5.4.99.5,663834023c1fe13f5df494e3f529a214fa135dda8c0087edd5fc54c23dfeaa37
Q93LJ4,5.4.99.5,2abb747f4ab2c3a8689afcdcd91222fe63bcd7899314b73216751c55265f8168
Q9HU05,5.4.99.5,8f9178fecc7e552a46aed9ecfa4511cf344437fe834459c5c1fcd56b1169ec2f
Q5Z1C4,2.3.1.31,18ebc246f5a78ecaa6083fdab606b11eb0d07a29ab71a66c00f8cbd955125120
A1A3D2,2.3.1.31,58e6a2cc8528916efe0e080e18dc7a35bfa29f9783348bda9086be67ed5ef54b
A9MBD0,2.3.1.31,c9ba5e5737e93a593580267c94e37f25c3dc5f997da619f0096c80087f78cf15
A1W1X7,2.3.1.31,b9690f39aa1f08b63d55c97f17e8e9f659040e1b0f64783241cee27ad4c8284b
B9L9I6,2.3.1.31,4f9ae26e50a3e2084d9d2373e8d058abea223a62f61d4bcdf8d5924ceb37dff3
E3HDJ8,2.3.1.31,2937c60b2fcb271e5647630a35f9b2da3dd7c94f2b63c0b16c641de835045db5
Q2NGH9,2.3.1.31,e509407e04afaa5373c9f1eac86c9e5a0f28a01a544a34978e598076a508a661
K4ICC9,2.3.1.31,ec73b55a0a1b5dccff478ad955eb0aa31c323f66b60f98d07de631c7c34f7649
Q03V79,2.3.1.31,ee490d969b59ec7f8abc16cab9b193fde6d3f03a09ee1c61abaf3cd732d3b310
D3P9D1,2.3.1.31,fbcd0a09992b1ca33f2876707eda880319aaa289d83494e5dbda0d9e0d046b3f
B2IY96,2.3.1.31,dc5e09f781b4c7d88ec6ad0efc22c4012fece606b4e9436f48761d3be01a8f9c
Q5UY71,2.3.1.31,63139632b096b3bf523fab74782532ed623d54fc84be06cf715591f9094058df
Q4QJY8,2.3.1.31,28bdcd7445a2ca46749b18f79b200b0dbd9c56343e4bb909e5179e75a2adf435
Q31RB6,2.3.1.31,8c2660cfa3b24aa89a84540f72e2670afddd53a3663fa5714487e21aa5f1bb7e
Q8Y9D6,2.3.1.31,0ae614f153822df01ce64daeec19002c92b4b5133a2178bb7c7ca2b7414c8384
F8U830,3.1.1.98,b0e59ae56d42fb25ed3081f3744556a357f7caf75aea18bf7afa786e17ce153d
A0A0D4BSP3,2.1.1.328,02d8ba9aaeb987be0ec3dba74787bd9eb96f8ff1d0c3b06dcb4d3c6eb0f24f1b
A0A0E0SNE8,1.14.19.20,5d5be7704f7f95fcd7aa81679ea43d31fdefaa653184f3c760694cca915a1ba0
Q8NJ57,1.14.19.20,fdd7ae9d974260c607ef436191d66991304756caf2b6564d4e4159d9e3d3fc0a
Q8J207,1.14.19.20,85fa3544ac41c3d2142b10f8a4a23f126566cea38ea7c220ed11c03d2d8f9314
Q9ZT29,1.14.19.20,c19a4b3e5a8f6f811ab8e9f529e49d6f15fb4899bdfda23bf9ef262991d0dd4b
A0A0E3USC3,1.14.11.49,221c18b63e73541612a444e1bb649d1271c33062660de4aa819f302ab5178fb7
D4QF25,1.14.11.49,7b51c3a1de481d8145d9c6646a90ee3f3e2f6795dfe9f778bc5bfdd8907a07c9
Q89V40,2.1.1.334,32b9e4b146cda6f7ef2302288492bbb7f3bb9cd426d78957e52295a8207c120f
A0A0H2V630,2.4.1.369,c930e61d26021e84d3e568a1402b2e3d8cf4d1c29ad7dde46d46e6e2d4389a38
A0A0H2V660,3.1.1.109,9fbaa037baf84106c06659d46ef637231c195e8d545570da8402310db5fa1290
P13039,3.1.1.108,0fbaf7ad2ff420b39ad55b53459f1c927355636688b5fbed7180167fb3cf9fc9
O51900,3.1.1.108,bf1fbb423785ec7674b4c2f3416cbd5c82837544b905fde362757b5d9bd12122
Q56855,3.1.1.108,293c288e22f700b2d504625acad07b3620c7f64d799b85b0a5ee3fa75dd39164
Q9I0F2,3.1.1.108,9ed0eb0debef8a4bf472a4f9541e707dc8bd19dc67ea93d7f26806af85252a93
A0A0H2V871,3.1.1.107,8372a9e4bb1e26bb2ce069e869dabf115eb5d4469803319047bb1f0eebb0fd40
A0A0H3JUG6,1.17.99.6,b00b3957c2f64ed7a2019e77d560b6e8bcb03d7e3e01881ec28cc332ec86f0a5
G0J2F8,1.17.99.6,ffa53b086558e1683f9b7f9bcec28e3757ddc39d42348abee11f135f7588d7b7
Q81I72,1.17.99.6,4d769bd4a59e9bb4c6896c33e1f27490e8535fa9c7c53b12a98a7768ef08bdb1
Q2FX88,1.17.99.6,e6713d6e7bb39d9b9ef86e2a77c84ddae7f50ee83f62299ab0a19f3c3d381b9a
Q7VYQ1,1.17.99.6,4933bd4ce7c84f21d9013aa1490e198383049f7cc162bc7602322d74e45a1e79
A0A0H2WWB5,4.2.1.113,ece5fa532fd70ad3b7ed0c294a43db6092061db7cef0e36adb52286079e08604
A7FGT5,4.2.1.113,df0045958c3096519f9b1874beddaeb41761b17488fe9b9ef19eedc3e912c482
O34514,4.2.1.113,23ca78ee3d4b423e7d11252c110a946f55e626cbe3bfd479e423dfd5c065a200
Q44244,4.2.1.113,fb1d8ed35888b3e59053baecbd7b7a44fe1538ed750d5651e725068d2bc7aa4d
A1KG30,4.2.1.113,088034f1bde42584609bf19a754fb9e8472a49bb93b087c2c3e6a4a6ba7ef577
Q55117,4.2.1.113,da888c12ecdf0bd8225bfec47582a57782bcf4af72f3c7a6b65ccb6af0bbec26
Q927X3,4.2.1.113,7ee2c323c7e8edf9cefed6dec8418e53af71052b37a50cc6651eec697291060f
A0A0H2WWP1,6.3.2.10,38c75194b231fa2f5c26387772c9c79eab2c3cd01ccaa7aaa1e73f1de0116c38
O33804,6.3.2.10,919fea4a83e27b75e9f8f56d58c90e5b48343faa0b794875fbf4035785abe582
O83401,6.3.2.10,1b99d77cff2bf983f773905261764ce2e9fe5fc4f0659815919d096c85ef6f75
P11880,6.3.2.10,e5fd2f65d603cba32001067979b06751a9dec09b352bc52be50745758cbc8d56
P45450,6.3.2.10,5e4516965528ced32f4f1cf10fe516a08ddeac3590d73bfa2267fcf9a8ac4bfb
P0A5L5,6.3.2.10,75ea5ed08b927bd63b9603949534377693f09bc38c4d4fea00e53e739680c68a
Q44777,6.3.2.10,e5024c9d9ba57cc7e9f4f48c34177fd8e3c2595828275a69606655fd533fdaa7
Q92H60,6.3.2.10,8e219510d1bc6de47932cf708522b70e6378bf44c64b79fa44952ae7f1af17e3
A0A0H2WWV6,2.4.1.70,75836d80fdbed0579302e8f859a0aa676587d50056695ccd7413e4e60f8ec676
O29008,3.5.1.2,5b25dbd1a239398361db39e80b59c6fa592bd620a288a6adb1bfffb75be9ec80
A0A0H2WZ38,3.5.1.2,70f803e43376fc1551be487a5d56866a3cb16f173a2b721add901f96c4aa6d54
Q1QMU3,3.5.1.2,3d6f73c51f67e078a76fa8724d5bdd3224fd87f08a01f28c1b2e67712ae3726b
A2BLL6,3.5.1.2,34e3c23b3545c44f9a88f76bd529535258fa997f025af42c4b469642a37f8206
Q9ZGM1,3.5.1.2,651aba4ff2f307e4f19fb4bee49191da381e9a20e1c5ec80a35b5d9dfde8e1ee
Q5WZT6,3.5.1.2,8554cc4bd1d00ad9af4c3c737044af77244de2a3037642706a4449b9301856a0
Q2JN09,3.5.1.2,72bdeeede27eb0b83434afd16404def7a7b9dc7d954309cb74e66b0a6fc99ae8
A8A8T7,3.5.1.2,dac37491c938acf916325a5a28f27c4e4c4981cb20a3fef36d91d3e8aefacffa
B9LSC8,3.5.1.2,89d03bc5fafe494cd9c32a01f9de73ef83b975470e517b861e66d4394ea7be3a
Q81IB3,3.5.1.2,a8d08b74eeb9c2d5e521820640fe074c8e597cef62372fde96301420e6452262
Q9UX21,3.5.1.2,49116afde42a95c5710dd9cda5468d9faa0ee7f386e1fd120dd5f51d834cd45e
A6VHR9,3.5.1.2,019bf4a9e6922115e6557e8ced57556f53d324b1484dd7a98a0a0f69a2da5c2d
Q4PJX5,3.5.1.2,42e0f44249df6294ffdb18cd1141d280b3782d4dae945a4691f1486a96d17514
Q30PY0,3.5.1.2,86b974f2dc774b1018cd20182b72002c7210082d915a8d9bd49f8191305d328d
Q8ESS0,3.5.1.2,237645a862a298d79b56d96c2da620befe391430248683a7e361552ccf636307
B6YQU3,3.5.1.2,805b5860e215dd83529ab5379aa40d8e248057140eca9407e67d036c3efb618c
Q2LXR3,3.5.1.2,c51b23109206436f4bc83b0947d0ea1166f20e990e6b805db66a9194790b7d5b
Q4FLJ5,3.5.1.2,d59abdbe7110a137eed14cd6fa723a4123f20e17bce4bfbab820025952a6d73b
P61783,3.5.1.2,e768f787087a77c087bf4f1849fac18acce398315f185dd60263407f148721cb
B9MKY8,3.5.1.2,e79d55d19cd82d7cf4d7a94bf75a2d85f52eea1298c16c99484d7d5952986f5e
A0A0H3JUU7,6.3.5.13,d2c1e0912edb71cdd3fdcaae10ba65a48f740c7771e31ade38e7f14dc95da506
A1A6H3,2.7.1.15,b914d7d333e002f2c49ab05f509f0be08f744a10ceca9fd88e5d415d8096f60c
C0SPC1,2.7.1.15,cd3fe68889910b4e941ad95fa915e37d8f30ddfaa3e4cb73d1ef26eb0bad7f96
E9AD19,2.7.1.15,8bf3fbe98d73563b0d6bfeb424403cda4e018800919969810fa0b9020c039de4
O60116,2.7.1.15,d3cd60e87001a8954d973f7042dfbceeca9a801e00a72aa6d37db49b0154ad1d
P36945,2.7.1.15,952ad6e2590a31ea3a23cc3cf2f56c0999765b2359ddfb0d0a076cce9c71b03e
P44331,2.7.1.15,c1e0d72df102c96124c187f1aee850eba2eec4101205b40a3f7c8a0b7dbee04e
P83534,2.7.1.15,fd99f7905d31b81e345960f12372f61b8fdb0b9eba603381d672ead2069dc55a
Q54UQ4,2.7.1.15,4daf1118c9294c6bf7dbf551eb214c36fd4a37785fc840e13bc39e074a649d33
Q9CF42,2.7.1.15,80a9dbb4ff0bcd7d729ae562ca8b2619d10628ac5f8514c73413b04f3193fdfe
Q9H477,2.7.1.15,628db4e4b1cbe217960d5b3d67e6998c11d1ff59559062f22b80582d34f88c69
A0AFT8,1.14.14.18,77e89b793606463d05c2b253e75758f5fc11f7387b89236e99a6739e85676daa
O48782,1.14.14.18,156523c8e24c9870e89d688d8c0271c3e31bab33060d1722c58205858a1e7f86
O70453,1.14.14.18,fc66c9f7c573779d4c025ba0b7d92708891eb0fd3493eca1b58e17c550fe3e01
O73688,1.14.14.18,e139a21048790634cdd5c15d866d2fabe65384958722c946a81a55d12a8c4508
P71119,1.14.14.18,9c6160b0a48d81201bdff1e90857e9b81f347b8197d96be686d8eca87ad55427
Q69XJ4,1.14.14.18,12226f3ea0e15192fb91d3deaab9ec421d500235e585cd075567a2a7a93c0c6f
Q81L50,1.14.14.18,ab79e2484008419ccd66886af3ce8406554fa882ca320876bdafd1dfea2360f1
O78497,1.14.14.18,742e175c1b71c34e44a8f7b4d2e3ebae43fd28b9bc02f0328d6c1822f53e2c99
Q5HMA8,3.1.3.48,345ca2091f654869fd08a844addb755cc9f719a8a6874d4d63593487e4250244
P41893,3.1.3.48,47a1d5c94e9bd6469981a7f888e65b16ed0e27aabc11de46073ea0e4e2bcbcef
O52787,3.1.3.48,9cc306d94556e8f337db9f25fe8e2909759d05808cfc76abfd57acdcfdd278c7
Q9HXC7,3.1.3.48,defd740d84f37691216bd9d4bc3640cdf3856a099c6a610f44eaafeb6a45351d
Q4QEZ7,3.1.3.48,f8bd14460372824a34f4be5f9065d3c20ff7ce2e4295730901f2209f2310f095
