Entry,EC number
Q12051,2.5.1.29
Q54BK1,2.5.1.29
S0E627,2.5.1.29
B0FLN1,2.3.1.184
O54451,2.3.1.184
P33883,2.3.1.184
P12747,2.3.1.184
P54291,2.3.1.184
P33881,2.3.1.184
P33907,2.3.1.184
P58584,2.3.1.184
P74945,2.3.1.184
P70774,2.3.1.184
P52989,2.3.1.184
Q51522,2.3.1.184
Q9FDA3,2.3.1.184
A0A0B4G504,4.2.3.47
F0ZDD0,4.2.3.47
F0ZL92,4.2.3.47
Q54TW4,4.2.3.47
Q54YE2,4.2.3.47
Q9FXY7,4.2.3.47
Q9K498,4.2.3.47
A0A0B4ZTQ2,2.5.1.137
A0A0C2SRU5,1.14.11.76
A0A5Q0QSI8,4.2.3.88
A0A5Q0QNJ2,4.2.3.88
Q9Z0R9,1.14.19.3
Q23221,1.14.19.3
A0A5B8NIM2,5.4.99.5
A0R3N5,5.4.99.5
D2CSU5,5.4.99.5
D2CSU4,5.4.99.5
O67085,5.4.99.5
P43902,5.4.99.5
P19080,5.4.99.5
Q9P4D8,5.4.99.5
P39912,5.4.99.5
P9WIB9,5.4.99.5
Q51507,5.4.99.5
Q7CHH5,5.4.99.5
Q84FH6,5.4.99.5
Q89AE5,5.4.99.5
Q93LJ4,5.4.99.5
Q9HU05,5.4.99.5
Q5Z1C4,2.3.1.31
A1A3D2,2.3.1.31
A9MBD0,2.3.1.31
A1W1X7,2.3.1.31
B9L9I6,2.3.1.31
E3HDJ8,2.3.1.31
Q2NGH9,2.3.1.31
K4ICC9,2.3.1.31
Q03V79,2.3.1.31
D3P9D1,2.3.1.31
B2IY96,2.3.1.31
Q5UY71,2.3.1.31
Q4QJY8,2.3.1.31
Q31RB6,2.3.1.31
Q8Y9D6,2.3.1.31
F8U830,3.1.1.98
A0A0D4BSP3,2.1.1.328
A0A0E0SNE8,1.14.19.20
Q8NJ57,1.14.19.20
Q8J207,1.14.19.20
Q9ZT29,1.14.19.20
A0A0E3USC3,1.14.11.49
D4QF25,1.14.11.49
Q89V40,2.1.1.334
A0A0H2V630,2.4.1.369
A0A0H2V660,3.1.1.109
P13039,3.1.1.108
O51900,3.1.1.108
Q56855,3.1.1.108
Q9I0F2,3.1.1.108
A0A0H2V871,3.1.1.107
A0A0H3JUG6,1.17.99.6
G0J2F8,1.17.99.6
Q81I72,1.17.99.6
Q2FX88,1.17.99.6
Q7VYQ1,1.17.99.6
A0A0H2WWB5,4.2.1.113
A7FGT5,4.2.1.113
O34514,4.2.1.113
Q44244,4.2.1.113
A1KG30,4.2.1.113
Q55117,4.2.1.113
Q927X3,4.2.1.113
A0A0H2WWP1,6.3.2.10
O33804,6.3.2.10
O83401,6.3.2.10
P11880,6.3.2.10
P45450,6.3.2.10
P0A5L5,6.3.2.10
Q44777,6.3.2.10
Q92H60,6.3.2.10
A0A0H2WWV6,2.4.1.70
O29008,3.5.1.2
A0A0H2WZ38,3.5.1.2
Q1QMU3,3.5.1.2
A2BLL6,3.5.1.2
Q9ZGM1,3.5.1.2
Q5WZT6,3.5.1.2
Q2JN09,3.5.1.2
A8A8T7,3.5.1.2
B9LSC8,3.5.1.2
Q81IB3,3.5.1.2
Q9UX21,3.5.1.2
A6VHR9,3.5.1.2
Q4PJX5,3.5.1.2
Q30PY0,3.5.1.2
Q8ESS0,3.5.1.2
B6YQU3,3.5.1.2
Q2LXR3,3.5.1.2
Q4FLJ5,3.5.1.2
P61783,3.5.1.2
B9MKY8,3.5.1.2
A0A0H3JUU7,6.3.5.13
A1A6H3,2.7.1.15
C0SPC1,2.7.1.15
E9AD19,2.7.1.15
O60116,2.7.1.15
P36945,2.7.1.15
P44331,2.7.1.15
P83534,2.7.1.15
Q54UQ4,2.7.1.15
Q9CF42,2.7.1.15
Q9H477,2.7.1.15
A0AFT8,1.14.14.18
O70453,1.14.14.18
O73688,1.14.14.18
P71119,1.14.14.18
Q69XJ4,1.14.14.18
Q81L50,1.14.14.18
O78497,1.14.14.18
Q5HMA8,3.1.3.48
P41893,3.1.3.48
O52787,3.1.3.48
Q9HXC7,3.1.3.48
Q4QEZ7,3.1.3.48
P96717,3.1.3.48
Q55535,3.1.3.48
Q681Z2,3.1.3.48
Q16690,3.1.3.48
P34442,3.1.3.48
Q45408,3.1.3.48
P41498,3.1.3.48
A0A0H2ZH52,7.4.2.9
A2RI77,7.4.2.9
A0A0H2ZGN6,7.4.2.9
Q8RDH4,7.4.2.9
P23222,2.7.13.3
P44578,2.7.13.3
Q9HV31,2.7.13.3
O07777,2.7.13.3
O32193,2.7.13.3
P54444,2.7.13.3
P23621,2.7.13.3
P35164,2.7.13.3
O53857,2.7.13.3
P59341,2.7.13.3
P09431,2.7.13.3
Q52977,2.7.13.3
O35044,2.7.13.3
P9WGL5,2.7.13.3
Q4L6C5,2.7.13.3
Q8E3C7,2.7.13.3
Q8YC53,2.7.13.3
O69729,2.7.13.3
O25917,2.7.13.3
A0A0H2ZQL5,2.7.1.229
Q7CPF5,2.7.1.229
A0A0H3AFM6,2.7.7.65
A0A150XSC5,2.7.7.65
A0A381HBN1,2.7.7.65
B8GZM2,2.7.7.65
P0AAP1,2.7.7.65
P0DUE3,2.7.7.65
P31129,2.7.7.65
P75908,2.7.7.65
P76236,2.7.7.65
P76237,2.7.7.65
Q73RG3,2.7.7.65
Q8EGF8,2.7.7.65
Q8X6V3,2.7.7.65
Q8X8Q3,2.7.7.65
Q32HJ0,2.7.7.65
Q93UV0,2.3.1.50
A7BFV8,2.3.1.50
A7LXM2,2.3.1.50
Q60HD1,2.3.1.50
O15270,2.3.1.50
O59682,2.3.1.50
P25045,2.3.1.50
P91079,2.3.1.50
Q8RYL0,2.3.1.50
Q55FL5,2.3.1.50
Q10P01,2.3.1.50
A0A0H3GDH9,3.5.1.104
Q81AF4,3.5.1.104
Q81EJ6,3.5.1.104
Q8DP63,3.5.1.104
A0A0H3H456,2.7.1.121
P0DN88,2.7.1.121
P76014,2.7.1.121
P76015,2.7.1.121
Q927E6,2.7.1.121
Q92ET9,2.7.1.121
Q92EU2,2.7.1.121
Q92EU3,2.7.1.121
Q9CIV6,2.7.1.121
Q9CIV7,2.7.1.121
O07608,6.3.1.20
P0DN72,6.3.1.20
A6ZPT1,6.3.1.20
P47512,6.3.1.20
P60809,6.3.1.20
Q1QEC2,6.3.1.20
A0KMH0,6.3.1.20
Q8IEG9,6.3.1.20
Q9HKT1,6.3.1.20
A0A0H3JVA1,2.4.1.355
A0A0H3JXA8,2.5.1.152
Q48PB0,2.7.1.217
Q6D0N8,1.1.1.408
Q6AB12,1.1.1.408
Q89NF3,1.1.1.408
Q92X16,1.1.1.408
A0A0H3LX82,2.7.1.219
Q0K4F6,2.7.1.219
Q6D0N7,2.7.1.219
A0A0H5BN57,4.2.3.193
A0A0K0JFP3,2.7.1.1
P17712,2.7.1.1
P50521,2.7.1.1
P04806,2.7.1.1
Q02155,2.7.1.1
Q4U3Y2,2.7.1.1
Q59RW5,2.7.1.1
Q9NFT7,2.7.1.1
Q9NFT9,2.7.1.1
Q42525,2.7.1.1
Q9T071,2.7.1.1
D8L2V9,1.14.13.249
A0A0K8P6T7,3.1.1.101
D4Q9N1,3.1.1.101
Q9CAY3,2.3.1.15
Q43307,2.3.1.15
A3KGT9,2.3.1.15
Q8GWG0,2.3.1.15
Q9SHJ5,2.3.1.15
Q9FZ22,2.3.1.15
A0A011QK89,1.1.99.2
Q91YP0,1.1.99.2
O49394,1.14.14.165
Q9M2Y8,4.4.1.14
Q9SNN8,4.4.1.14
Q9SZY8,1.14.13.168
Q60HH4,3.5.1.23
O45686,3.5.1.23
Q568I2,3.5.1.23
Q5KTC7,3.5.1.23
O45145,3.5.1.23
Q6DBD7,3.5.1.23
Q5QJU3,3.5.1.23
Q9D099,3.5.1.23
Q9VIP7,3.5.1.23
E7F6D7,2.3.1.225
A0A0R4IDP3,2.3.1.225
Q4IMZ7,2.3.1.225
O60069,2.3.1.225
Q5FVR1,2.3.1.225
P0CS68,2.3.1.225
Q14AK4,2.3.1.225
E7EZI4,2.3.1.225
Q7SCY6,2.3.1.225
Q6BHT4,2.3.1.225
Q5A861,2.3.1.225
Q8WVZ1,2.3.1.225
Q6FMP5,2.3.1.225
Q9SB58,2.3.1.225
Q6CG20,2.3.1.225
O14345,2.3.1.225
Q54VH7,2.3.1.225
Q5Y5T3,2.3.1.225
P50113,2.7.8.7
Q1LTI6,2.7.8.7
B4U7U7,2.7.8.7
A6VUP9,2.7.8.7
Q12036,2.7.8.7
A0A0S1RVB0,2.7.8.7
Q9RXR0,2.7.8.7
O33336,2.7.8.7
A0PU93,2.7.8.7
B5YJG8,2.7.8.7
Q8D303,2.7.8.7
A4QGP6,2.7.8.7
Q7NE72,2.7.8.7
Q9F0Q6,2.7.8.7
B8DVV4,2.7.8.7
B3CQ27,2.7.8.7
Q057R6,2.7.8.7
B9M2U0,2.7.8.7
A1AWQ3,2.7.8.7
B2RYJ4,2.7.8.7
A0A0S1TQ04,1.14.14.62
A5JYX5,1.1.1.1
E1ACQ9,1.1.1.1
N4WE73,1.1.1.1
N4WW42,1.1.1.1
O07737,1.1.1.1
P24267,1.1.1.1
P23991,1.1.1.1
P33010,1.1.1.1
O13309,1.1.1.1
P20368,1.1.1.1
P48815,1.1.1.1
P54202,1.1.1.1
P76553,1.1.1.1
P9WQC0,1.1.1.1
P9WQC2,1.1.1.1
P14940,1.1.1.1
P10848,1.1.1.1
A0A0U2UYC4,4.1.1.113
A0A0C5Q4Y6,1.14.14.60
A0A120HUS7,2.3.1.30
A0A1D3PCK2,2.3.1.30
P23145,2.3.1.30
P43886,2.3.1.30
Q65PC9,2.3.1.30
Q10QH1,2.3.1.30
Q39218,2.3.1.30
Q59967,2.3.1.30
Q89B11,2.3.1.30
Q10S58,2.3.1.30
Q9US33,2.3.1.30
P71405,2.3.1.30
A0A140C435,2.1.1.360
Q04089,2.1.1.360
Q4IJP1,2.1.1.360
Q4WVH4,2.1.1.360
Q6CWV1,2.1.1.360
Q756E1,2.1.1.360
Q8LKV5,1.1.1.62
O54939,1.1.1.62
P51658,1.1.1.62
O88736,1.1.1.62
Q3U0B3,1.1.1.62
Q8NBQ5,1.1.1.62
Q9BPX1,1.1.1.62
A0A140IL90,1.14.19.50
P0ABZ4,3.1.3.45
P45314,3.1.3.45
A0A140N890,5.1.1.13
O93779,5.1.1.13
H8L901,5.1.1.13
A0A140NCB4,3.5.1.128
Q94JV5,3.5.1.128
Q8VDK1,3.5.1.128
A0A144A134,3.1.3.99
O14349,3.1.3.99
Q7SDZ1,3.1.3.99
Q6C673,3.1.3.99
A0A163UT06,2.1.1.364
P58467,2.1.1.364
Q4QQN5,2.1.1.364
A0A172U6X0,5.1.3.31
O50580,5.1.3.31
Q98FW0,5.1.3.31
A0A178U9Y5,4.2.3.167
Q9Y7J6,2.7.11.1
O94647,2.7.11.1
F4JZW1,2.7.11.1
Q96287,2.7.11.1
P83098,2.7.11.1
P74745,2.7.11.1
Q9XTW2,2.7.11.1
Q9Z0G2,2.7.11.1
O88697,2.7.11.1
Q20085,2.7.11.1
Q8BGW6,2.7.11.1
O13924,2.7.11.1
P54360,2.7.11.1
O80902,2.7.11.1
O32724,2.7.11.1
Q12196,2.7.11.1
O43930,2.7.11.1
G8T6H8,2.1.1.6
O07431,2.1.1.6
O42898,2.1.1.6
O88587,2.1.1.6
A0A1B4XBG5,4.2.3.191
A0A1B4XBH2,4.2.1.47
O60547,4.2.1.47
Q9JRN5,4.2.1.47
O59703,2.5.1.1
P05369,2.5.1.1
Q92236,2.5.1.1
Q54XP1,2.5.1.1
Q55EU7,2.5.1.1
Q58GE8,2.5.1.1
Q758K0,2.5.1.1
A0A1C5G2V9,4.6.1.2
A0A4V2JTK3,4.6.1.2
Q8L870,4.6.1.2
A0A1D3PCI9,2.3.1.46
A1SMU5,2.3.1.46
A4G1K0,2.3.1.46
C7C8V4,2.3.1.46
F4QV02,2.3.1.46
S2KHP1,2.3.1.46
G3ISL7,2.3.1.46
B4EYS9,2.3.1.46
Q8P6V8,2.3.1.46
Q6D009,2.3.1.46
A2C808,6.1.1.16
O29836,6.1.1.16
A6Q8G9,6.1.1.16
B1YA45,6.1.1.16
Q6KIE2,6.1.1.16
Q54ZY3,6.1.1.16
Q9WZH8,6.1.1.16
Q98R33,6.1.1.16
Q164A4,6.1.1.16
Q87EL7,6.1.1.16
Q5NR44,6.1.1.16
B3LFA4,6.1.1.16
C3PMC1,6.1.1.16
Q6PA41,6.1.1.16
O58370,6.1.1.16
B1KLU0,6.1.1.16
Q2J545,6.1.1.16
Q7NAH7,6.1.1.16
Q255U1,6.1.1.16
A0PV27,6.1.1.16
Q2S3T5,6.1.1.16
A0A1D8PEL1,2.7.1.36
P07277,2.7.1.36
P46086,2.7.1.36
Q50559,2.7.1.36
Q86AG7,2.7.1.36
Q980D2,2.7.1.36
Q5E9T8,2.7.1.36
Q9Y946,2.7.1.36
B5RGB7,1.6.5.2
O23207,1.6.5.2
Q8CHK7,1.6.5.2
C6DG98,1.6.5.2
P0AGE6,1.6.5.2
P9WHH7,1.6.5.2
B2T8L2,1.6.5.2
Q88FF8,1.6.5.2
A0A1D8PLH0,2.7.4.2
I1RZD0,2.7.4.2
P24521,2.7.4.2
Q2KIU2,2.7.4.2
Q4WV38,2.7.4.2
Q97UL6,2.7.4.2
Q9C6T1,2.7.4.2
Q9KWG3,2.7.4.2
Q9UT88,2.7.4.2
Q9VIT2,2.7.4.2
A0A1D8PS71,3.1.3.8
O00092,3.1.3.8
A0A0S1TPC7,1.14.14.61
G8JVR4,3.1.2.1
P32316,3.1.2.1
Q8WYK0,3.1.2.1
A0A1E7MYN1,1.14.19.49
A0A1H7TQR5,2.7.1.8
I7FJX8,2.7.1.8
Q9KUA9,2.7.1.8
A0A1I9Q5Z0,1.14.14.63
A0A1I9R3Y5,1.11.2.3
Q9CAB7,1.11.2.3
P37552,3.5.99.10
A0A1J1EM40,2.1.5.1
H9JW44,3.5.1.41
Q55U20,3.5.1.41
P82476,3.5.1.41
P50325,3.5.1.41
Q06703,3.5.1.41
Q5AQQ0,3.5.1.41
Q6DWK3,3.5.1.41
P41247,3.1.1.4
Q9K0U7,3.1.1.4
P39877,3.1.1.4
Q675A5,3.1.1.4
P39878,3.1.1.4
P37447,3.1.1.4
Q08448,3.1.1.4
Q9QUL3,3.1.1.4
A0A1L4BJ46,3.1.1.4
Q9EPR2,3.1.1.4
P80003,3.1.1.4
Q9NZ20,3.1.1.4
D4B0M5,3.1.1.4
C1JAR9,3.1.1.4
A0A5C1ZXT8,3.1.1.4
Q8GZB4,3.1.1.4
P20253,3.1.1.4
C0HLL2,3.1.1.4
Q9QXX3,3.1.1.4
A0A1L7VZE7,4.2.3.165
Q5ZMF3,2.7.1.76
P37529,2.7.1.76
Q9QX60,2.7.1.76
O05420,3.4.11.5
C0ZKI1,3.4.11.5
P46547,3.4.11.5
P75092,3.4.11.5
C7TMK0,3.4.11.5
Q8SQZ7,3.4.11.5
Q9S2L4,3.4.11.5
W3XA95,3.4.11.5
A0A1P8B760,3.5.1.4
A0A348AXX5,3.5.1.4
O28325,3.5.1.4
O33040,3.5.1.4
O59805,3.5.1.4
O69768,3.5.1.4
P22580,3.5.1.4
P27765,3.5.1.4
P63491,3.5.1.4
P63493,3.5.1.4
P63497,3.5.1.4
P22984,3.5.1.4
P95896,3.5.1.4
Q07838,3.5.1.4
P08158,3.5.1.4
Q55424,3.5.1.4
Q8TFF9,3.5.1.4
Q7XTK3,3.5.1.4
B8GQ39,3.5.1.4
Q9URY4,3.5.1.4
W7MLD8,3.5.1.4
P33558,3.2.1.8
Q12603,3.2.1.8
P40942,3.2.1.8
P23551,3.2.1.8
Q5ZNB1,3.2.1.8
P26515,3.2.1.8
A0A1P8B8F8,3.2.1.8
P79046,3.2.1.8
P36218,3.2.1.8
P07529,3.2.1.8
P26514,3.2.1.8
Q9RI72,3.2.1.8
B3A0S5,3.2.1.8
Q60041,3.2.1.8
Q0CFS3,3.2.1.8
Q8J0K5,3.2.1.8
P45703,3.2.1.8
Q9UV68,3.2.1.8
P48789,3.2.1.8
A0A1S4F020,3.4.17.2
P19223,3.4.17.2
Q9JMK0,2.4.1.274
A0A1U9YI11,4.3.2.9
E9R9Y3,4.3.2.9
Q2UPC2,4.3.2.9
Q84QC1,4.3.2.9
Q32LE4,4.3.2.9
A0A1U9YI21,2.5.1.18
P30111,2.5.1.18
P24473,2.5.1.18
O76483,2.5.1.18
Q7JYX0,2.5.1.18
O43708,2.5.1.18
P0CG30,2.5.1.18
Q86AU1,2.5.1.18
Q6Q882,2.5.1.18
Q0ZS46,2.5.1.18
Q9M2W2,2.5.1.18
F1MVX2,2.5.1.18
Q8LE52,2.5.1.18
P44521,2.5.1.18
Q6NLB0,2.5.1.18
Q9WVL0,2.5.1.18
A0A1W2PR19,2.5.1.18
B5BP46,2.5.1.18
P40582,2.5.1.18
P46429,2.5.1.18
D2YW48,2.5.1.18
A0A2U8U2L5,4.2.3.104
A0A1V0ELS9,1.13.11.86
A0A1V0QSA8,2.5.1.10
F9XLC1,2.5.1.10
P9WEW8,2.5.1.10
O53507,2.5.1.10
O66126,2.5.1.10
P22939,2.5.1.10
Q08291,2.5.1.10
P57537,2.5.1.10
P9WKH1,2.5.1.10
P49352,2.5.1.10
Q6F5E6,2.5.1.10
Q92235,2.5.1.10
Q39491,3.1.3.16
Q8SV03,3.1.3.16
Q53Q11,3.1.3.16
P79126,3.1.3.16
Q12378,3.1.3.16
Q8BFV3,3.1.3.16
I6WXK4,3.1.3.16
P35182,3.1.3.16
B4G653,3.1.3.16
O42853,3.1.3.16
O82733,3.1.3.16
Q7XVF9,3.1.3.16
Q4RQD3,3.1.3.16
P76395,3.1.3.16
Q0J2R1,3.1.3.16
Q7Y138,3.1.3.16
Q8Y678,3.1.3.16
Q6NT99,3.1.3.16
Q9FN02,3.1.3.16
Q84LF2,4.2.3.61
A0A221J5X1,1.3.1.122
P0DPA8,2.7.1.222
A0A286LF02,1.14.99.59
A0A291P0C1,1.8.3.4
Q13228,1.8.3.4
Q4K423,3.7.1.24
Q9JJ05,2.4.1.122
Q4KXC9,2.4.1.122
P40999,2.1.1.204
A0A2H3E4G0,4.2.1.66
G2XQT1,4.2.1.66
Q1GP76,3.6.1.9
B6JN80,3.6.1.9
Q6MDL5,3.6.1.9
Q1DAV2,3.6.1.9
Q6A725,3.6.1.9
A6GZH5,3.6.1.9
Q8RFE6,3.6.1.9
Q8PVQ2,3.6.1.9
Q9NV35,3.6.1.9
Q7MWG0,3.6.1.9
B2V089,3.6.1.9
A3DMH6,3.6.1.9
B1YJT1,3.6.1.9
P39997,3.6.1.9
Q0C6A7,3.6.1.9
Q5WEQ9,3.6.1.9
A9NE14,3.6.1.9
Q6AMI5,3.6.1.9
Q7UWY8,3.6.1.9
Q2JXB4,3.6.1.9
Q8Z688,5.1.1.1
P58736,5.1.1.1
O86786,5.1.1.1
A0A2I1D2M7,5.1.1.1
Q9ZKQ9,5.1.1.1
Q68XW3,5.1.1.1
A5EW54,5.1.1.1
Q5X709,5.1.1.1
A8H8K6,5.1.1.1
A5N376,5.1.1.1
O58478,5.1.1.1
A5CWE3,5.1.1.1
C6E5Z6,5.1.1.1
A1U388,5.1.1.1
B2S3S0,5.1.1.1
Q75FF2,5.1.1.1
Q67K79,5.1.1.1
P54918,5.1.1.1
Q15NL4,5.1.1.1
Q1IYK9,5.1.1.1
A6W1F2,5.1.1.1
P94494,5.1.1.1
Q2SLB1,5.1.1.1
Q8RSU9,5.1.1.1
A0A2I6B3P0,4.1.1.108
A0A2I7G3B3,1.1.1.347
A0A2I9,4.1.1.29
A0A2J8C362,3.1.1.74
A6WFI5,3.1.1.74
A0A024SC78,3.1.1.74
C8VJF5,3.1.1.74
G4MZV6,3.1.1.74
Q8TGB8,3.1.1.74
Q8X1P1,3.1.1.74
A0A2K3DU55,3.1.3.27
O34349,3.1.3.27
P0AD42,3.1.3.27
P38812,3.1.3.27
P44157,3.1.3.27
Q86BN8,3.1.3.27
Q66GT5,3.1.3.27
Q9LXR9,3.1.3.27
Q9Y7U3,3.1.3.27
O25008,2.8.1.7
O27442,2.8.1.7
O34874,2.8.1.7
O51111,2.8.1.7
A6V0U8,2.8.1.7
P38033,2.8.1.7
P63517,2.8.1.7
P9WQ71,2.8.1.7
P75298,2.8.1.7
Q8IBT4,2.8.1.7
Q9KDJ6,2.8.1.7
Q9PDA6,2.8.1.7
Q9PQ36,2.8.1.7
Q9V242,2.8.1.7
Q9X191,2.8.1.7
Q9YAB6,2.8.1.7
Q9Z408,2.8.1.7
Q9Z5X5,2.8.1.7
P32143,2.7.1.184
A0A7W3RDA3,5.3.1.31
J1H1H5,5.3.1.31
Q8ZKT7,5.3.1.31
A0A2P6MHY1,4.1.2.57
Q9L7R9,4.1.2.57
A0A2R4QKX7,4.2.3.133
A0A2R6Q8R5,2.4.1.294
Q6WUC1,2.1.1.128
A0A2T5Y4G4,3.2.2.5
A0A5B8Z1N3,3.2.2.5
C0MAL8,3.2.2.5
P17982,3.2.2.5
P0DUD9,3.2.2.5
A0A0J5WTU0,3.2.2.5
P0DV41,3.2.2.5
P0DW59,3.2.2.5
Q4WL81,3.2.2.5
Q7S936,3.2.2.5
Q9I739,3.2.2.5
P21130,2.4.1.10
Q43998,2.4.1.10
A0A314KSQ4,6.3.2.52
A0A348B782,4.2.3.100
P86325,3.1.1.1
O64641,3.1.1.1
I1RIF1,3.1.1.1
Q4F883,3.1.1.1
B3PI89,3.1.1.1
W7MSI0,3.1.1.1
Q9WYH1,3.1.1.1
Q6LTX5,3.1.1.1
O00748,3.1.1.1
Q51758,3.1.1.1
P9WK87,3.1.1.1
I6XU97,3.1.1.1
P16854,3.1.1.1
Q8VCU1,3.1.1.1
Q9LT10,3.1.1.1
Q9LFR7,3.1.1.1
A0A348HAY2,3.1.1.1
Q5XTQ4,3.1.1.1
D4AV38,3.1.1.1
P96688,3.1.1.1
Q87RV2,3.1.1.1
Q9ZV06,2.3.1.48
Q4X0W8,2.3.1.48
Q9C7G6,2.3.1.48
Q9M8T9,2.3.1.48
Q59VF4,2.3.1.48
Q9TYU5,2.3.1.48
Q869X7,2.3.1.48
Q4PBE6,2.3.1.48
Q07794,2.3.1.48
Q750F5,2.3.1.48
Q9Y7Y5,2.3.1.48
A0A364LXP7,2.3.1.48
Q4P3S3,2.3.1.48
Q5XI06,2.3.1.48
Q6ES10,2.3.1.48
P40963,2.3.1.48
Q4I6A4,2.3.1.48
Q8S8E7,2.3.1.48
G4N7S6,2.3.1.48
P0CO06,2.3.1.48
Q9UTM7,2.3.1.48
Q54P86,4.2.3.160
A0A385AJN0,4.2.3.46
B2KSJ6,4.2.3.46
B9RXW0,4.2.3.46
A0A858E4Y8,4.2.3.46
Q55E23,4.2.3.46
A0A386JVA3,2.5.1.68
P36596,2.5.1.21
Q02769,2.5.1.21
A0A1D6EFT8,4.2.3.197
A0A3L6G998,4.2.3.57
A0A5S9I252,4.2.3.57
A0A3M6TIF0,2.7.7.86
A0A6J1SUS3,2.7.7.86
A0A8B6XWW9,2.7.7.86
A8DYP7,2.7.7.86
P0DXB4,2.7.7.86
P0DXB5,2.7.7.86
P0DXB6,2.7.7.86
P0DXB7,2.7.7.86
Q8N884,2.7.7.86
A0A3Q7GYG2,2.1.1.82
A0A3Q7HS74,1.14.14.64
A0A3Q7HWE4,4.2.1.59
Q7U343,4.2.1.59
O25928,4.2.1.59
B9KAH0,4.2.1.59
Q5NEQ0,4.2.1.59
Q04DN4,4.2.1.59
B8D7D9,4.2.1.59
P86397,4.2.1.59
Q2JI59,4.2.1.59
Q820F1,4.2.1.59
Q89AN9,4.2.1.59
A0A3S5YBC7,3.2.1.123
Q6L6S1,3.2.1.123
A0A3S7WQS5,2.9.1.2
Q18953,2.9.1.2
Q6P6M7,2.9.1.2
Q8TXK0,2.9.1.2
A0A411EW25,2.1.1.381
A0A455LLX4,1.5.1.39
P94424,1.5.1.39
Q07923,1.5.1.39
A0A455ZJC3,2.5.1.102
Q7G602,1.14.14.82
A0A4V8H040,1.13.11.90
A0A4V8H042,1.14.11.72
Q7XXP3,2.3.1.302
A0A4Z3,2.4.1.87
G3V9Q9,2.4.1.87
P14769,2.4.1.87
O26314,3.1.11.2
P09030,3.1.11.2
P0A2X3,3.1.11.2
P14746,3.1.11.2
P45951,3.1.11.2
P87175,3.1.11.2
Q9Z0F6,3.1.11.2
Q9NSU2,3.1.11.2
Q9R1A9,3.1.11.2
Q8I384,3.5.3.1
O08691,3.5.3.1
P0A2X9,3.5.3.1
Q7M0Z3,3.5.3.1
P37818,3.5.3.1
Q1E180,3.5.3.1
Q6CLS8,3.5.3.1
Q74ZW4,3.5.3.1
O49046,3.5.3.1
