Entry,EC number
Q9USX0,2.4.1.134
Q5JDJ7,2.4.1.18
Q02166,2.4.2.18
Q7N8B1,2.4.2.31
O66663,2.4.99.12
A1XI30,2.5.1.150
Q09832,2.5.1.114
Q58428,2.6.1.97
O07587,2.6.1.1
Q9TZI1,2.7.1.138
Q554D8,2.7.1.82
D2IYS2,2.7.10.1
Q9GRT1,2.7.12.2
O31671,2.7.13.3
O34206,2.7.13.3
P30663,2.7.13.3
Q187N7,2.7.2.1
A4VFY3,2.7.2.4
P9WKE1,2.7.4.9
P35202,2.7.6.2
P30636,2.7.6.2
P72736,2.7.6.3
Q8ZTF9,2.7.7.6
Q95ZE2,2.7.8.8
Q3IYX7,2.7.8.5
P23857,2.8.1.1
P91247,2.8.1.1
Q56210,2.8.1.12
Q3EDG5,2.8.2.20
A0QIR4,2.8.4.3
A7J2C6,3.1.1.6
P40601,3.1.1.3
A0A345BJN2,3.1.1.1
Q57822,3.1.12.1
Q6ZUV0,3.1.2.2
P9WM67,3.1.2.2
P24546,3.1.21.4
Q9YAD8,3.1.21.4
Q54EP3,3.1.26.5
Q9T010,3.1.3.16
Q9LVQ8,3.1.3.16
P37646,3.1.4.52
B0G0Y8,3.1.4.35
P51691,3.1.6.1
Q7SIG4,3.1.8.2
B2UNU8,3.2.1.22
P16218,3.2.1.4
A0A0H2V8B5,3.2.2.6
P0DTS9,3.2.2.6
A0A1V0HUU2,3.2.2.5
O53388,3.3.2.10
Q5ZU17,3.3.2.2
B2KZE7,3.4.13.23
O85304,3.4.13.19
P74268,3.4.13.22
P35150,3.4.16.4
P39042,3.4.16.4
Q86I79,3.4.16.4
P04069,3.4.17.2
P0AFV4,3.4.17.13
Q5JIZ5,3.4.21.62
O06291,3.4.21.107
Q2FV99,3.4.22.70
Q5UZH5,3.4.23.52
O05156,3.4.24.75
P37112,3.5.1.14
O64876,3.5.1.121
D4AXL1,3.5.2.6
Q59514,3.5.2.6
P73270,3.5.3.11
Q9RW45,3.5.4.40
P51599,3.5.4.16
Q9S847,3.5.4.5
Q94JQ4,3.5.99.10
Q54BW5,3.6.1.23
Q2W9Z8,3.6.1.27
P96590,3.6.1.55
F4K1R2,3.6.2.1
Q8GUN2,3.6.2.1
P37024,3.6.4.13
Q00246,3.6.5.2
E9FCP7,4.1.1.11
E8WYN5,4.1.2.10
D0ZLR2,4.1.2.14
Q46DA4,4.1.2.43
O07717,4.1.3.1
O81027,4.1.3.4
A9CH39,4.1.99.13
Q59639,4.2.2.3
A0A5Q0QN66,4.2.3.135
A0A0U5GNT1,4.2.3.194
A0A0A2JP58,4.2.3.100
O27397,4.2.99.18
Q58030,4.2.99.18
C8VC05,4.2.99.18
P0CF22,4.3.1.17
Q9W1L5,4.3.2.5
Q66I06,4.3.2.8
Q981V0,4.3.2.1
Q8EZ24,4.3.99.3
Q0PBX7,4.3.99.3
Q9M8R4,4.4.1.5
Q5LW89,4.4.1.3
E7DDH2,4.4.1.3
C0HLG3,4.6.1.23
P30289,4.6.1.24
O29537,4.99.1.3
O51127,5.1.1.3
B2S303,5.1.1.3
B7J192,5.1.1.1
Q8P3K1,5.1.3.29
O58010,5.1.99.1
Q3IZP4,5.1.99.1
P44721,5.2.1.8
P0C1J7,5.2.1.8
Q9SCY3,5.2.1.8
Q9Z5B6,5.3.1.28
Q55E32,5.3.3.5
Q99316,5.3.4.1
Q79FW5,5.4.2.12
O74038,5.4.3.8
Q609C2,5.4.99.25
A0A2U7XUH7,5.5.1.6
Q54KQ7,5.6.1.1
P34808,5.6.1.1
Q9FT74,5.6.2.4
Q9FT69,5.6.2.4
Q9X895,6.1.1.6
Q8VYJ1,6.2.1.26
P0C7B6,6.3.1.2
O13629,6.3.1.20
Q86B00,6.3.1.2
P38254,6.3.2.25
Q8L539,6.3.3.2
Q9T390,6.3.4.19
A5UK38,6.3.4.16
Q7UNE1,6.3.4.19
Q57706,6.4.1.9
P26174,6.6.1.1
P19968,7.1.1.2
Q02854,7.1.1.2
B1AIC1,7.1.2.2
H6LC30,7.2.1.2
H6LC27,7.2.1.2
H6LC32,7.2.1.2
Q56724,7.2.4.3
Q06700,7.2.4.5
Q2IN45,7.3.2.2
Q57399,7.3.2.5
Q0P887,7.3.2.6
P31742,7.4.2.8
Q7VSX3,7.4.2.8
O21280,7.6.2.5
B0R5G4,7.6.2.8
Q57I19,7.6.2.5
