Entry,start,end,sequence_sha256
Q9TZI1,0,549,d2c520ffd85fe2de6917fccd240aed38ae79c5bd4602ac0a49b4697361beca59
Q554D8,0,447,c7cccd77a0b3c0226e02fe729bdeaa3a48751911685bc84cf2a0cdf2f108387d
D2IYS2,0,807,160d544026f739115054305dc6d90a01bbd3013524889a32a5978770ff6ddaeb
Q9GRT1,0,350,8181cb3e568e7579f9e1577a8849590bc24716207a9dcc352f91cbc76483eb55
O31671,0,506,e64e7100c40e4b5b271f1818c91c00dc6a5bf3d857afa0e1d3e695fac4ec4a71
O34206,0,595,9c662eae37582962cf442cb1a6afad06a48333327ae5997972abc9519b3bf0be
P30663,0,519,b78bef15d8a10128d16f9e7a26491a2e1b46650ac0635de79ac1d588352b256e
Q187N7,0,157,11ee521f312e91f0905e18082528885ff9c8fbdcfe9b669db6637977a4908a45
A4VFY3,0,476,c3c95c32323b81a85505c50b0c01768c3339ee2b1f4a579c458632868b899a51
P9WKE1,0,214,48e7ab04d4a26258389c1742d2cdc846a0959dc7594bb5cebc860739b26ad127
Q8NM65,0,306,df8fb363fb6be4352ffd85bd4c59bf0b2a8efc14428eff4e4f61ba25748f7402
P35202,0,319,c85255cc97f64d49259073401c52cd4f4133fb0bf6be47597ed410d28994a4d5
P30636,0,243,e356294ca4ba9f776ff0de603475836e77446bbf803b4aa93b76d1b75bf00e75
P72736,0,195,ae3ad4dd9c2d2ad83d0a3ca3eb691a856bb658e3afd7a612500fdd49ebda70f0
Q8ZTF9,0,106,b10752c60daae81bf1d3c5dfe893c15d5748a4d0b9df9f185cbff4f1e27dc305
Q95ZE2,0,384,a8e335a05b2d5600b499ac472e3650f60349e8f09cc936a23c1bc3ba4379c073
Q3IYX7,0,221,c3354addf7df8ef8c22d54a037daefcc76efe73bd81e23b85d1b7e8a26d39439
Q5HLM5,0,721,f4e6669e934da344ae051b9389169d1eba33dadc877edf59944210dd6842d919
P23857,0,104,6bddb45cf4c82ee922a2db21cd7f8d84018982f6550b1ff7f9b5acfb587fe2b8
P91247,0,277,36509b4f50edbf887333330140f7f2f8d0e59a6a0c5be64ce80c0f097c4484eb
Q56210,0,165,909179c41e460ad1d5864dde4474e0b3feb6c81f3520358ce9984e86a392290c
Q3EDG5,0,500,32ff04f2a6f4dfb93ed0e1fce709c764a59e3fab938272207ea017182f3dc540
Q9KJF0,0,410,6053b0ad5f287d3fa60b53e4403a5f2dc0890f8518408e5ce058895d0dc58532
A0QIR4,0,715,8063da56fcb7d1a21103e3542ef37a551c775c9d198dd656c7e1710eea0271aa
A7J2C6,0,348,882748825a87f3ad1876c33b7b2ff059d27f7bba9ed674166681bf93b1f10244
P40601,0,645,760f6af2826ad15302a599c7fee95a3d990b3673ba88722d1dbeabecb5c4c5f9
A0A345BJN2,0,218,a99334659bffd8b3348b0f7642b9c4d0adbbe8a0c75682e1ab26269254773788
E8PLM2,0,528,d7286dc82ae5311cd4c36216dfd9347fa29449622b116be5d2a1db7aa01d208e
Q57822,0,170,d2fc9d75235df2444d57ecd602c384403897657b5065f0d8194530dd3f386b91
Q6ZUV0,0,252,60e673698f7471d50f368a7680e9c8c9f517e0326f7b5169bdf8ee499c1b6e29
P9WM67,0,183,d421e40f3a85a4e5bc3292f3f4432cd82de00731de1ca85b1c121410ba531aff
P24546,0,366,d7ff4c46d2b3db7039d86775ff6fe7f7d22e310d8e4860dc785d1107bab8496d
Q9YAD8,0,156,5c13aa88da9e4484de1f9e8c8d86fed2c54b21423c8077858742bd71fc978f6a
Q54EP3,0,171,69e7cbc1e1bde02cbb7c9bca184b2fa86423eda962dfc3920bf15a5aa6f68d9c
Q9T010,0,295,0b6cf28eb5aafb03b12d4a89f8d13cec69f246e3e007316e0d91b2281f91fe58
Q9LVQ8,0,414,5bbe9f5b9537018f431825fa3cf6d9b9d920cd3c9cdb2b885ba51569640bf0bb
P37646,0,255,4805dc3531fac7b68223010594d64331ce4bbfd83f84227a96514afc31baf842
B0G0Y8,0,466,88750f88296ed37c44054078d076fb59d86adda55af7438868372543e8055fe0
Q52556,0,528,c6f9a38467d0562f7835e8359fab35f7496634c2444e5c34f9fdc910961516a7
P51691,0,536,09b1799fb23382767721f71773d3f53855214534248126f1c27b53ae83a12942
Q7SIG4,0,314,71ec9b1cef7a859404efada525c1f75b7c39264399c34ad0f94196da32bf4c5b
C0SPA0,0,718,4bb7f92dc7b57389fda91b2f0cc2527bbd506d6ee83ae20df764ee0af1ced819
B2UNU8,0,794,9a3e654cfc0c3dc1514f7ee83949c4b30b3b006b6190eeaf69408b8be70742d2
P16218,0,900,c0ad7a00239194c4ec2118f212fbfab73223044412760237471d80b13f4e9c7c
A0A0H2V8B5,0,307,f13286e88cd2df7ee944d184f39fca2181f60fef9dc9e66dcf3d90b02a64e3e3
P0DTS9,0,280,0937762cc63900aaa77e4c38145a965880105cae6a263aaae5f69a8d787d0b95
A0A1V0HUU2,0,259,14361be58a5152b3bf969c9df5debb83b5f90acf2156dea054fe3df2cae962db
O53388,0,214,42666da8237b4fddd03051d7554a1a693f2f39f8978594a3f57b471a9aaa8f81
Q5ZU17,0,216,98ede4d13f79f4a5e5ef3b02a2c2d7ea62c5b9241045c704e6ed734fd63d6f91
Q48677,0,355,307de1995980a4b7e5a4c50736a7e34b4491ce1fca247ec0180552459650ae4c
B2KZE7,0,455,1a390bf5fa4012bed425f476d39647051bccd4465de166bb5806f02995974ecc
O85304,0,433,6a01fa2ce69bc15bc393e1267282570bc95b2a4d431c7d32a302967cf38e992b
P74268,0,247,d2fa21958d3bb750708385bcca289c6c7e40ee0aeced00f4a8cca0b464118f12
P35150,0,382,0ab6b147f983bb060aa49420eee94b8c1505ca183362a1ae4b3382e94a4e379a
P39042,0,291,16748a573f5b0d3096f235aa8ffe9458d1a07d0a3af8445cc6b0f56ba2cd446c
Q86I79,0,522,cb1d0baed0201b177778205880823d0513ab92d2e55ad41b6c94d1cc58cc28e6
P04069,0,303,aae59ac4d07537acb92142e7bc81155fa5d0e87884c3ba73030cd6e70797c8d7
P0AFV4,0,188,54a70467297d550d0a02fc99e96c0c3274422a2cb91122d715219c7568366dd7
O31852,0,414,f9948647a5ea75b5bb3970de61cae29de818e1841e1bbebc1258adecac7d7c36
Q03415,0,396,2995efceab734ca0db7729fe2aaa8bff733d0a94a364d98213e36a3266f6cad5
Q9I2Q1,0,154,81662021c5a5410bf4cd5cafa4b20632f58dd1a1020cb3cc79e97c9ffe96c5b1
Q5JIZ5,0,663,93bfa898cdfff920e7d999bcf314e2eee5b0edfc6e8a4dbbdd0013d58e5285f1
O06291,0,528,06b78eff8f2dac0c11a6d2cc4f6918d245259270d9f336e66130f9cdad5af640
Q2FV99,0,206,032503462c57c0bc4f25a4199d5e746a91ec7beb7b975b8b5b49b109acab3e50
Q5UZH5,0,341,759b00443d01c182a805f3307418090a8231aa15c7e592157ec286321fc53bd5
O05156,0,362,d130e5840e88ca4679fdc4a924fa2193950faf7f994750b35bfeb3cd16966c8b
P00801,0,178,6124ca10b7f00265c46a6f2a1555e6b2cfb642ad94a376fe93d03de644033667
P37112,0,370,046c83361336e4e3cf1df842297002137ff3c944706ac95474c10bf8478c9e77
O64876,0,347,68443ad83d88451486345a77fb28911c1b40afcf932c39b7682af2abb00ef955
D4AXL1,0,595,b0dc0d02ef0a4d034b5262d81e7f97f1f9c1117e4699a022a7ebaf711afd3ae3
Q59514,0,313,a15626f95e7b69aa1f2d5b67c8526d74d646f0893690ec1fca1d6ed461a8b57f
P73270,0,390,8b5f32150fe8a7abb1c0723a52f1e90080d476b347a49a72bf62adb75a7d002c
Q9RW45,0,418,51a52dd54ff9d741374daa71d8679ced6cf60a3f32d0713bf108e4dde8eca248
P51599,0,313,a12f4bbfbf6229e3ed8057ee1bc722d6e4880ad4186ef4def1460edeb975f6bd
Q9S847,0,223,90f4420ce7e5f744268a0c2abcae8c5ae57ee46b90784191e172c03a24533005
Q94JQ4,0,187,9392869831a67b8e7a6ec7e8ec5e8e0bebda56046ecd51f9824f6c56e054c7b6
Q9KWS2,0,142,6dd043af66b4ea5daaff8e1844682ce1a85f5a3c9f1ee761068ede70ac8c4b54
Q54BW5,0,179,c58591109d4f3f8a64efcb733841e727a5fa6839a3aae0051871dddfd95c2b46
Q2W9Z8,0,267,87121fd0d4928ea7d51a11428c73680f1ca385af2b915b50d345e14f3a5b2910
P96590,0,149,32efcc31dd55b73ba5a80943b247d12d87015a9fc3c3e2a7fbf957f1b5ea7266
F4K1R2,0,197,243ef0e1d63dcc10240e6bfc573a08c2c6790e00a6dd3edb83f0a2e9c480cf05
Q8GUN2,0,147,a11002e8146f88cd7a74ca57fba4ad339c067fb7b0527d69b0769178e0fe0c7d
P37024,0,809,271e17532c3746b28cb4f6c1205072114b28944fb76e1f7733f101bb9aec0387
Q00246,0,291,0c2488370974a52d03eb913d108204346862200c71371dca26273888b6253799
Q55AX0,0,904,2fbc4a4ff05c4fa11e3268cd97a73294fbb080dc7f2c81016630e3826502a6be
Q58544,0,323,021cff706feb7087a94a8b796a987d519b4c7e0af3f7214939ebce4e2ed1db36
Q05631,0,351,6583d1a063a4e5022215bef1549668d3900340c8de8c8378484fb7e64a606a87
Q59727,0,330,e1375768a60004202a2474d00f25402eee1fcc074802e86e4205a1e8927aa937
E9FCP7,0,501,e5fdd7122d3298f6d8f018c93072184be3e821edb2d0e04874a684ad5b4ddc0b
E8WYN5,0,131,32d39a7dbdb67772c85ffdac8b325b98147604c1b7bccce53a2319c1b90b50fe
D0ZLR2,0,247,fe861709673bacd6ab2d5c6968558314ad4b6214fe92d7654a465aab20d844ec
Q46DA4,0,413,fa9b051b681cac8320cc8a7ec419df8d2e0bc9992adeba26da63a3082d55b574
O07717,0,398,76f9b898322a7aff33afac58bfec608a5cc8ceab143f6f1ad6fed92b4d92ccd4
O81027,0,468,d47aadf5e7afe8d9df1ceed3e4e633637272256e96dafa48ab2f8f2c7d31569b
A9CH39,0,507,028b016a0513576a1e528e638487f8a184a1b1fb222002d3d637d3dfbc1fcf8c
D4GP40,0,412,0b173980928d42e9a131d40fdf26c74aaaaed4ea7bc97413e30cdaa66f997452
Q59639,0,233,4d464a85aa4fc65a2be48e2ef465a2b57025b39424fd4de892e62483cf0e6cb5
Q59801,0,807,95577035a3eb46ccce8255734f291d5f0aa76e3e55961e851fa26138aecc5546
A0A5Q0QN66,0,659,4ce320958293a06b4dbe90cf92494ba51031e98f3826c2161f798968051fc096
A0A0U5GNT1,0,528,92c38c453d0d89c62678c261deb2e07580ca494c158c2f6ca5480d3b03c818e6
A0A0A2JP58,0,389,049f24c88fc16826a03c0b727845195a25d792f255d012c0f1b9bc5247563af9
O27397,0,312,fae70bd8591fff44c52d881fb6b44f4a8ee2fd4ffade51ee9e4e5ce716b2a470
Q58030,0,344,daca64ae3507e2624fb4e0570eb229859c6c7cfbf560062dfb8f60f8f0bb9fd5
C8VC05,0,443,f3a8bbde4ad553e902a339983c8023fd7e68a1b1367785276abad83753188d60
P0CF22,0,210,1f34c68e9e76c7e2d4240443cbd12733c2c0bffe2148ffb648504835a16bf921
Q9W1L5,0,406,06298ce4c0bf5c5e306a0e0b89a6931ff215ee6a3bd08e9b1862b85fa089bd8f
Q66I06,0,191,fe4a176fc9bd8a7f06c5243898486418dfc451460b68a4c6b71b2ad49d2c6cfe
Q981V0,0,927,78559e5a59f90d041c2f8932ed1dba7a47a12b7b9bbd6ef9e827a299b0d1988d
Q8EZ24,0,237,f7d1d5c9910e98407bd8c4584c75f63a1fc70fff5074b9f5734baa99f1da1a96
Q0PBX7,0,247,e07dd590cc5081355afe725f7a6b19d2daee5bc506b43e1c8faf7cd86ea5906c
Q9M8R4,0,388,cb180c549076d3facb510aebb6de5b81502f25f7c4021359fb59fbf3c8439190
Q5LW89,0,152,397d5d57f74b347ea2fa81182263b47237a35983cb2f9e44f1eddec45034c066
E7DDH2,0,401,ee24ce384be9bca219f02ebe339ca8b840dec61f27109095c63d1bc73c1497f1
C0HLG3,0,156,e3149307fdc659a8d6c4148032d5a69e5b15c5bb8550b74ef75bc22a9756617e
P30289,0,141,ac3f4e8a53ae4c04692052fb3961662bc93addbad5ebcfed837132d6f0bf46ce
O29537,0,132,3162a160d0832cbbe3a0d3311df9bee8d3be920d299c02592ede5f180d797b02
O51127,0,261,3567996d66833d05e381967d030317dfa10dcf6b86e5af4a05029bee7dcf89e2
B2S303,0,268,53d009adabca51f690ff8e4570e6063c3b65372fb78a6a3320f158f9289964bc
B7J192,0,372,722a2326cfa09cd3750172bb194527dadb4a94ea67de2f9a41139a0c82459307
Q40784,0,329,398bae07c541e9a3b7d189eb053120de348c671372fc3f306fc1c251bc53a208
Q8P3K1,0,125,4183d9f3d9b660f1d0b627682cf854bbf2df221e5bd891007f2b06fc1f6538a6
O58010,0,136,65fe0d9bdecfde62593d2487e39d27569c44e93ae17c0244d92f1e6ada72b18a
Q3IZP4,0,134,dbfec22689f26ab622cda2a3949d0f23f3ec47694e6e48800073b3a98ab33c5c
P44721,0,313,21c349aaaec8011a6f4a31d2d767ed43a8ab66d2bf0f376153ec577d433a363b
P0C1J7,0,385,515c556c7b8378cde0577f43033f4b131f268ecf78e127257d73c41f2686adb1
Q9SCY3,0,217,1ca49e9b9ba8d8122db0e6a7cb0d83acfc49764edc475b35831e6ddaefcb38c9
Q9Z5B6,0,231,cff202b040e932ed2d001d46899a347cd8a40ef3c45fe954e34cca39b90f9524
Q55E32,0,219,ac3949f302b29b60244fd76fcc67e9dffa0f45a7744e692651287a7c4db4eb94
